,Unnamed: 0,longitude,latitude,code,name,state,nearest_town_distance,nearest_town_bearing,city,geometry
102,102,-73.679,43.885,PARA,Paradox Lake - DEC,NY,2,W,Paradox,POINT (-73.679 43.885)
103,103,-76.667,42.232,PARK,Park Station Rec Area,NY,3,N,Erin,POINT (-76.667 42.232)
104,104,-75.344,43.403,PIXL,Pixley Falls State Park,NY,6,S,Boonville,POINT (-75.344 43.403)
105,105,-74.582,43.399,POIN,Point Comfort - DEC,NY,4,SW,Piseco,POINT (-74.582 43.399)
106,106,-73.503,44.404,POKE,Poke-O-Moonshine - DEC,NY,41,N,Schroon Lake,POINT (-73.503 44.404)
107,107,-74.54,43.428,POPL,Poplar Point - DEC,NY,1,SW,Piseco,POINT (-74.54 43.428)
108,108,-73.571,43.838,PUTN,Putnam Pond - DEC,NY,7,W,Ticonderoga,POINT (-73.571 43.838)
109,109,-78.747,42.097,REDH,Red House - Allegany State Park,NY,4,S,Salamanca,POINT (-78.747 42.097)
110,110,-75.75,44.035,REMI,Remington Park RV  Military - Fort Drum,NY,1,SE,Fort Drum,POINT (-75.75 44.035)
111,111,-76.546,42.398,ROBH,Robert H. Treman State Park,NY,4,SW,Ithaca,POINT (-76.546 42.398)
112,112,-74.87,44.986,ROBM,Robert Moses State Park,NY,4,N,Massena,POINT (-74.87 44.986)
113,113,-73.488,43.789,ROGE,Rogers Rock - DEC,NY,5,SW,Ticonderoga,POINT (-73.488 43.789)
114,114,-74.407,44.307,ROLL,Rollins Pond - DEC,NY,6,NE,Tupper Lake,POINT (-74.407 44.307)
115,115,-74.027,41.378,ROUN,Round Pond Military,NY,4,S,Cornwall,POINT (-74.027 41.378)
116,116,-73.508,41.983,RUDD,Rudd Pond - Taconic State Park,NY,2,N,Millerton,POINT (-73.508 41.983)
117,117,-74.294,43.36,SACA,Sacandaga - DEC,NY,2,S,Wells,POINT (-74.294 43.36)
118,118,-76.902,42.724,SAMP,Sampson State Park,NY,4,SW,Romulus,POINT (-76.902 42.724)
119,119,-72.555,40.888,SEAR,Sears Bellows,NY,2,NW,Hampton Bays,POINT (-72.555 40.888)
120,120,-76.204,43.557,SELK,Selkirk Shores State Park,NY,4,W,Pulaski,POINT (-76.204 43.557)
121,121,-73.678,44.043,SHAR,Sharp Bridge - DEC,NY,7,N,North Hudson,POINT (-73.678 44.043)
